seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
213b25e6f54661939f11710a6fddb871,SP,9,18,8,695.9000000000001,9,0
2156f2671501a81034d7d07f217609d0,SP,11,11,6,826.9000000000001,1,0
217f005bb37ff3aeef5b2ae1788e75ba,SP,2,2,1,49.98,266,1
218d46b86c1881d022bce9c68a7d4b15,SP,227,253,104,34086.15000000001,0,0
218f991754f360af9c2daa5e0b8e990c,SP,3,3,1,659.7,18,0
2199e7fe213c16213bf5d6a7eadc9a5d,SP,15,20,11,2888.3900000000003,15,0
21e83881401b92b49fb09a16d3852291,MG,12,13,8,3109.0599999999995,2,1
2235cf78d3e2073a88146a9cb60f0dd0,SP,1,1,1,178.99,61,1
229c3efbfb0ea2058de4ccdfbc3d784a,MG,97,117,21,11953.0,1,0
22a23e5ac7061fc538cc2a019afaaf16,MG,1,1,1,95.0,258,1
232a6014e7b10cba61c6c2b2ea6bb4b0,SP,18,21,14,2127.870000000001,1,0
23613d49c3ac2bd302259e55c06c050c,SP,44,47,20,3088.3000000000025,5,0
236585a4ddb5fea9fa40233e2249ed91,RS,8,8,2,439.56,13,0
2379bdc3888025689a9deb7b141507d5,SP,1,1,1,69.9,0,0
238fac594e170b59c6d228f5a4f4f1d9,SP,11,11,5,1113.0,8,0
23ca5f678e0b3ea6c630b30fa8bf51ea,SP,6,7,4,183.0,272,1
23d7c96d4a1160db1c726b248601b25a,SP,21,23,15,4367.14,1,0
23ff42c4bf1f8f16cddb19d8b972974a,MG,2,3,2,174.70000000000002,75,1
244b04680fdbded0acf5aebd9c92b44a,SP,2,2,2,1701.8000000000002,48,1
244c2f1bff6afe1f2eaf9bfe9b2aed38,SP,22,26,11,2481.0,8,0
2493dc3f20131696a0ecdb9948051a8d,DF,1,1,1,92.8,358,1
24a6daf925d9d591870a66660416de31,SP,1,1,1,31.0,2,0
24c1de8d9551c0b4fbc53317d53efda8,PB,1,1,1,355.0,362,1
2528513dd95219a6013d4d05176e391a,SP,79,82,52,21054.5,4,0
2528744c5ef5d955adc318720a94d2e7,SP,2,2,2,4598.0,40,0
252e76235acb79183cfca6e34f13337d,SP,2,3,3,204.0,203,0
253c025bab43881055aeecde5e2d8b77,PR,1,1,1,49.9,69,0
259f7b5e6e482c230e5bfaa670b6bb8f,SP,81,100,21,5027.739999999998,4,0
25c5c91f63607446a97b143d2d535d31,MG,142,244,17,49754.51000000009,5,0
25cf099de44674fde97473224f9d59ab,SP,24,24,17,849.16,4,0
25debeafbce801fdd479539350185eee,SP,4,5,2,172.86,61,0
25e47381a6c510ddeb36084e33b89f0c,SP,16,17,11,1289.6000000000001,216,1
25e6ffe976bd75618accfe16cefcbd0d,SP,83,89,46,9974.23,5,0
262237171f48e85819065498cac80d7b,SC,1,5,1,299.5,180,0
