sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
SC	Pinhalzinho	2023	66.61	99.05	100	6.63	77.76	75	30.38	64
SC	Sul Brasil	2023	57.20	86.97	100	14.71	52.95	55	13.38	77
RS	Cidreira	2023	74.07	99.63	100	23.18	90.77	78	41.40	72
RS	Cristal	2023	60.94	70.06	100	8.56	89.66	72	17.95	52
RS	Doutor Ricardo	2023	39.75	94.87	0	33.09	71.40	14	0.87	79
RS	Eugênio de Castro	2023	50.55	74.72	100	7.91	53.93	10	23.50	25
RS	Linha Nova	2023	53.76	95.42	100	24.75	31.23	15	23.32	51
RS	Machadinho	2023	38.21	82.67	0	10.89	72.47	47	6.22	82
RS	Nova Palma	2023	31.53	72.31	0	14.91	51.94	25	3.70	87
RS	Pinto Bandeira	2023	50.85	99.46	100	15.30	8.91	30	28.56	50
RS	Rodeio Bonito	2023	62.75	99.48	100	9.39	83.21	26	24.98	42
RS	Segredo	2023	45.03	47.84	100	10.40	54.93	8	7.49	54
RS	Uruguaiana	2023	67.28	95.66	100	9.42	78.75	79	25.89	87
RS	Vila Maria	2023	64.97	98.55	100	14.16	86.40	74	9.90	60
RS	Vila Nova do Sul	2023	57.44	70.00	100	26.95	81.17	25	19.07	25
MS	Cassilândia	2023	62.82	90.36	100	11.91	87.77	74	5.95	61
MS	Figueirão	2023	17.72	52.92	0	11.77	5.18	30	1.98	68
MS	Ladário	2023	64.35	98.04	100	9.68	90.87	73	8.23	54
MS	Paranaíba	2023	66.63	88.68	100	12.71	91.04	94	19.76	53
MT	Curvelândia	2023	56.93	73.49	100	16.99	78.47	54	1.19	64
MT	Diamantino	2023	65.89	80.07	100	11.39	89.89	75	22.68	82
MT	Porto Esperidião	2023	24.87	38.05	0	12.25	59.58	33	10.03	26
GO	Água Limpa	2023	35.88	77.93	0	22.50	78.29	4	3.01	67
GO	Alto Paraíso de Goiás	2023	61.63	76.39	100	18.20	89.96	68	3.17	75
GO	Divinópolis de Goiás	2023	50.94	71.35	100	18.69	62.85	2	0.95	69
GO	Morrinhos	2023	59.54	89.09	100	5.68	81.50	53	5.51	66
GO	Pirenópolis	2023	65.22	81.44	100	13.26	90.48	61	18.42	89
